epoch,loss,lr,val_loss
0,0.02323630007250594,1e-04,0.02308137184269316
1,0.022608342818492076,1e-04,0.02306292891103596
2,0.021580806109667568,1e-04,0.01720252546153272
3,0.008418701624436736,1e-04,0.0023896771006800496
4,0.0035218658471916405,1e-04,0.0008605819143664449
5,0.002500203290617,1e-04,0.0005326957457154896
6,0.0020565502372484057,1e-04,0.0004788397800507562
7,0.001934123803565428,1e-04,0.00030226190398901495
8,0.001839734290786513,1e-04,0.00033445925231759537
9,0.0018004973246825231,1e-04,0.00022222269701124115
10,0.001770734848675264,1e-04,0.00026993582228308294
11,0.0017021040140965823,1e-04,0.00038979643693525667
12,0.001704540056888052,1e-04,0.0002660921247473085
13,0.001738678296077127,1e-04,0.0003194954590861214
14,0.0017388290966037201,1e-04,0.0003807359244648121
15,0.001704691124439399,1e-04,0.0002627791772419644
16,0.0017311618837143662,1e-04,0.00022300519803016624
17,0.0016723614963874756,1e-04,0.0002447970225154595
18,0.0016724512153157784,1e-04,0.00026692759931212307
19,0.0017057244601489854,1e-04,0.00034014836980120476
